study_year,gender,age_category,gender_age_avg_unem
2008,Female,16 and over,6.135814767663908
2008,Female,20 to 64,5.476075747931254
2008,Male,16 and over,6.352896244430299
2008,Male,20 to 64,5.582533418204965
2008,Overall,16 and over,6.251893698281349
2008,Overall,20 to 64,5.537052832590707
2009,Female,16 and over,6.636286986955138
2009,Female,20 to 64,5.988005090677697
2009,Male,16 and over,7.216089723194401
2009,Male,20 to 64,6.50337257397391
2009,Overall,16 and over,6.941807190582246
2009,Overall,20 to 64,6.260610881323577
2010,Female,16 and over,7.02988864142539
2010,Female,20 to 64,6.389468660515431
2010,Male,16 and over,7.975707922367165
2010,Male,20 to 64,7.297168310531339
2010,Overall,16 and over,7.530260897231944
2010,Overall,20 to 64,6.8708240534521154
2011,Female,16 and over,7.5078269169583205
2011,Female,20 to 64,6.885427935093859
2011,Male,16 and over,8.700512249443207
2011,Male,20 to 64,8.040248170537703
2011,Overall,16 and over,8.138001909004137
2011,Overall,20 to 64,7.49554565701559
2012,Female,16 and over,7.9761756283805285
2012,Female,20 to 64,7.360801781737194
2012,Male,16 and over,9.226159720012726
2012,Male,20 to 64,8.585841552656698
2012,Overall,16 and over,8.631501749920458
2012,Overall,20 to 64,8.004295259306396
2013,Female,16 and over,8.330553611199491
2013,Female,20 to 64,7.745084314349348
2013,Male,16 and over,9.646780146356983
2013,Male,20 to 64,9.03054406617881
2013,Overall,16 and over,9.020992682150812
2013,Overall,20 to 64,8.419853643016227
2014,Female,16 and over,8.040315085932527
2014,Female,20 to 64,7.496435391470401
2014,Male,16 and over,9.046476766390834
2014,Male,20 to 64,8.460661998726925
2014,Overall,16 and over,8.564958625079568
2014,Overall,20 to 64,7.999395289624443
2015,Female,16 and over,7.408927434754933
2015,Female,20 to 64,6.9288987905792485
2015,Male,16 and over,8.190050922978994
2015,Male,20 to 64,7.672087842138765
2015,Overall,16 and over,7.815057288351369
2015,Overall,20 to 64,7.316486314449396
2016,Female,16 and over,6.7405187778485045
2016,Female,20 to 64,6.299936346276257
2016,Male,16 and over,7.413383195416932
2016,Male,20 to 64,6.952387014640356
2016,Overall,16 and over,7.090617441120306
2016,Overall,20 to 64,6.640642902609803
2017,Female,16 and over,6.034780394653088
2017,Female,20 to 64,5.6363144493952895
2017,Male,16 and over,6.657415658816041
2017,Male,20 to 64,6.242870782940802
2017,Overall,16 and over,6.364115213239974
2017,Overall,20 to 64,5.957224697644812
2018,Female,16 and over,5.477383831954169
2018,Female,20 to 64,5.095003182686187
2018,Male,16 and over,6.03662635264163
2018,Male,20 to 64,5.6613303628262255
2018,Overall,16 and over,5.774780394653087
2018,Overall,20 to 64,5.398058561425843
